history_id,station_name,province,lon,lat,elev (m),HDD (degC-day),Tmean (degC),Tmax (degC),Tmin (degC)
845,CHILLIWACK R HATCHERY,BC,-121.704,49.08,225,3227.627273,9.4492453,24.30833333,-7.841666667
875,HANEY EAST,BC,-122.558,49.2044,31,2998.378571,10.06666302,23.215,-7.745
878,HANEY UBC RF ADMIN,BC,-122.573,49.2645,147,3015.7,10.03869272,24.89,-7.52
896,LAIDLAW,BC,-121.579,49.3564,37,2953.84,10.50641506,26.09166667,-10.85833333
910,MAPLE RIDGE KANAKA CREEK,BC,-122.507,49.2111,76,3015.725,9.831580123,22.66875,-7.4
940,PITT MEADOWS CS,BC,-122.69,49.2083,5,2876.590909,10.4993865,22,-5.515384615
942,PITT POLDER,BC,-122.631,49.2732,5,3073.7375,10.13430047,23.2,-8.2125
965,RICHMOND NATURE PARK,BC,-123.093,49.1708,3,2837.5375,10.66554328,23.21818182,-7.690909091
967,SARDIS,BC,-121.895,49.0819,107,2973.255556,10.07872953,24.83333333,-8.380952381
971,STAVE FALLS,BC,-122.367,49.2333,110,2909.6125,10.47229785,24.41111111,-5.277777778
998,VANCOUVER HARBOUR CS,BC,-123.122,49.2954,3,2615.233333,11.19505155,21.84210526,-2.494736842
1013,VANCOUVER UBC,BC,-123.25,49.25,76,2866.38,10.21932121,22.88181818,-5.690909091
1095,HOPE A,BC,-121.498,49.3683,39,2954.916667,10.07860244,25.43846154,-11.79230769
1103,HOPE SLIDE,BC,-121.233,49.2667,685,4233.504167,6.402525092,21.92,-15.076
1128,PORCUPINE CREEK,BC,-121.8,51.0333,1190,5362.64,3.191099692,19.51818182,-26.72727273
1147,HEDLEY,BC,-120.077,49.3572,517,3660.357143,8.564692855,26.22272727,-18.72272727
1151,HIGHLAND VALLEY LORNEX,BC,-121.017,50.4667,1268,4995.308333,4.487982097,23.36666667,-24.56666667
1153,JOE RICH CREEK,BC,-119.126,49.8572,875,4773.45,4.885969658,20.96153846,-21.27692308
1163,KELOWNA EAST,BC,-119.397,49.8595,491,3758.75,8.957521301,26.7,-18.87777778
1165,KELOWNA PC BURNETTS NURSERY,BC,-119.484,49.8742,350,3397.344444,9.422061746,25.68333333,-15.375
1170,KEREMEOS 2,BC,-119.821,49.2103,435,3435.4,9.587733453,26.31,-16.74
1182,MERRITT STP,BC,-120.801,50.1142,609,3812.838462,7.932946388,25.11923077,-21.16153846
1191,OKANAGAN CENTRE,BC,-119.445,50.0561,370,3090,10.14775703,25.62941176,-10.77058824
1198,OLIVER STP,BC,-119.545,49.179,297,3239.16875,10.56020093,27.74375,-14.0375
1204,OSOYOOS WEST,BC,-119.443,49.0319,297,3230.645455,10.51998602,26.93333333,-13.825
1208,PEACHLAND,BC,-119.717,49.7833,345,3169.916667,10.08663341,26.55882353,-14.81764706
1217,PENTICTON A,BC,-119.602,49.4631,344,3362.485185,9.368877456,26.55357143,-13.40714286
1226,SIMILKAMEEN MINE,BC,-120.55,49.35,940,4495.863636,5.748626817,23.75,-23.60833333
1228,SUMMERLAND CDA,BC,-119.65,49.5667,454,3469.841667,9.01534797,26.83076923,-15.52307692
1231,VERNON,BC,-119.283,50.2333,556,3758.441667,8.260987261,24.32307692,-18.30769231
1234,VERNON COLDSTREAM RANCH,BC,-119.2,50.2167,482,3883.654545,7.510084487,25.00833333,-20.05833333
1237,VERNON NORTH,BC,-119.271,50.3443,538,3530.733333,8.996517252,27.45789474,-15.67894737
1243,WINFIELD,BC,-119.416,50.0366,506,3493.341667,9.011459878,26.26153846,-15.96923077
1260,GRAND FORKS,BC,-118.466,49.0262,532,3851.727778,7.978201783,26.07777778,-19.35555556
1268,MIDWAY,BC,-118.772,49.0037,571,3990.7125,7.731580465,24.64444444,-18.98888889
1278,CASTLEGAR A,BC,-117.632,49.2964,496,3564.164516,8.836960777,26.10645161,-12.96451613
1290,DEER PARK,BC,-118.05,49.4167,485,3658.111111,8.88722118,25.08,-13.43
1291,DUNCAN LAKE DAM,BC,-116.972,50.2387,549,4125.023077,7.188804011,22.68461538,-15.57692308
1293,FAUQUIER,BC,-118.067,49.8719,490,3760.676471,7.984636665,23.82,-12.815
1299,KASLO,BC,-116.921,49.9127,600,3812.866667,7.928860077,24.2,-13.74
1305,LISTER,BC,-116.458,49.032,660,3648.241176,8.331868983,25.97272727,-14.55454545
1318,NEW DENVER,BC,-117.37,49.9958,568,3712.985714,8.377627653,24.52857143,-13.65238095
1320,NELSON CS,BC,-117.305,49.4914,535,3513.77,9.08134721,22.65714286,-10.35
1336,WARFIELD,BC,-117.75,49.1,606,3581.7,8.641914722,26.42222222,-13.27777778
1344,PASSMORE,BC,-117.648,49.5386,503,3689.045455,8.786686015,24.66923077,-13.42307692
1355,CRANBROOK A,BC,-115.782,49.6122,940,4492.220833,6.09442966,24.964,-22.136
1367,FORDING RIVER COMINCO,BC,-114.855,50.1486,1585,6137.144444,0.969818371,18.21111111,-26.77777778
1368,CRANBROOK CITY,BC,-115.761,49.5092,926,4365.163636,6.144719132,22.83333333,-21.45833333
1384,KOOTENAY NP WEST GATE,BC,-116.061,50.6308,935,4557.1,6.106307896,24.56,-23.78
1392,SPARWOOD,BC,-114.883,49.7453,1138,4912.751724,4.535051721,20.63333333,-24.81212121
1398,WASA,BC,-115.631,49.8073,970,4570.84,6.264388154,23.25454545,-21.98181818
1406,ARMSTRONG HULLCAR,BC,-119.217,50.5,505,3966.2,7.681762632,24.87,-19.63
1407,ARMSTRONG NORTH,BC,-119.133,50.4667,373,4083.07,7.2068021,24.39090909,-20.94545455
1415,BARRIERE,BC,-120.117,51.1833,415,4096.990909,7.221966568,24.63636364,-24.2
1422,BRIDGE LAKE 2,BC,-120.793,51.5038,1155,5281.321429,3.644997916,20.94444444,-28.16666667
1424,BUFFALO LAKE,BC,-121.083,51.7086,989,5132.009091,3.7798151,20.225,-25.81666667
1442,CRISS CREEK,BC,-120.728,51.0297,1122,5317.34,3.1701983,18.55,-25.05
1443,DARFIELD,BC,-120.183,51.2918,466,3971.358824,7.43842724,24.30555556,-20.89444444
1444,EAGLE BAY,BC,-119.217,50.9333,412,4113.56,6.73419248,22.03333333,-17.59166667
1461,KAMLOOPS A,BC,-120.442,50.7022,345,3456.967857,9.24422558,27.01034483,-18.57586207
1496,100 MILE HOUSE,BC,-121.303,51.6469,1059,5078.6,4.350496177,21.50714286,-30.26428571
1497,100 MILE HOUSE 6NE,BC,-121.217,51.6814,928,5054.36,4.042220782,19.81666667,-24.175
1499,RED LAKE,BC,-120.8,50.935,1162,4754.2,4.518816854,23.38181818,-22.20909091
1502,RUTH LAKE,BC,-120.979,51.8447,795,4890.033333,4.878124267,20.9,-27.92
1507,SALMON ARM A,BC,-119.234,50.6856,527,4005.3,7.39609276,24.01666667,-18.85555556
1516,SILVER CREEK,BC,-119.35,50.5452,419,3931.538462,7.739502707,24.68461538,-18.32307692
1520,SPENCES BRIDGE NICOLA,BC,-121.315,50.4218,235,3271.082353,10.18289147,28.73888889,-19.58888889
1533,WATCH LAKE NORTH,BC,-121.117,51.4667,1069,5237.2,3.808573106,20.9125,-29.35
1534,WESTWOLD,BC,-119.751,50.4689,609,4265.527273,6.534062691,24.10909091,-24.70909091
1542,VIDETTE LAKE SHARPE LAKE,BC,-120.839,51.3265,1083,5070.335294,4.159794899,21.26470588,-26.42941176
1566,GLACIER NP ROGERS PASS,BC,-117.517,51.3017,1330,5953.573333,1.935345549,18.41,-23.645
1568,GOLDEN A,BC,-116.982,51.2992,785,4700.314815,5.234314279,22.3,-23.53793103
1571,GOLDSTREAM RIVER,BC,-118.425,51.6297,700,4748.705882,5.145197227,22.11052632,-20.31578947
1579,REVELSTOKE AIRPORT RD,BC,-118.166,50.9533,450,4002.661538,7.185696569,23.01428571,-17.25714286
1597,GLACIER NP MT FIDELITY,BC,-117.701,51.2382,1890,6358.49,0.49401726,18.57142857,-22.65714286
1615,CHETWYND A,BC,-121.627,55.6872,610,5413.648276,3.112931919,20.41935484,-31.61612903
1620,DAWSON CREEK A,BC,-120.182,55.7417,655,5891.722727,1.996932515,20.79545455,-36.25909091
1630,FORT ST JOHN A,BC,-120.74,56.2381,695,5761.442857,2.348956999,22.18928571,-31.83571429
1634,GERMANSEN LANDING,BC,-124.701,55.7855,766,6022.95,1.552039456,19.96923077,-34.38461538
1643,MACKENZIE A,BC,-123.138,55.3053,690,5543.888889,2.774331223,20.13,-31.69
1701,MUNCHO LAKE,BC,-125.767,58.93,837,6452.483333,0.510454833,20.57142857,-33.66428571
1706,TETSA RIVER,BC,-124.236,58.6531,810,6769.166667,-1.04686584,19.25,-32.33
1719,ATLIN,BC,-133.7,59.5667,674,6173.556522,1.107838537,17.66,-30.124
1724,BOB QUINN AGS,BC,-130.25,56.9668,610,5338.91,3.202244165,18.3,-27.78461538
1741,PLEASANT CAMP,BC,-136.367,59.45,274,5555.566667,2.831324423,19.02307692,-22.33846154
1769,BURWASH A,YT,-139.05,61.3667,806,7854.733333,-3.271873318,17.87037037,-38.18888889
1774,CARMACKS CS,YT,-136.192,62.115,543,7455.818182,-2.354959178,17.93846154,-41.02307692
1796,FARO A,YT,-133.373,62.2069,716,7638.3375,-1.988349515,18.24375,-40.66875
1829,MAYO A,YT,-135.867,63.6167,504,7358.189474,-2.28793767,21.83333333,-43.16296296
1833,MCQUESTEN,YT,-137.523,63.5942,458,7874.4,-3.064410349,21.13,-46.47
1845,OTTER FALLS NCPC,YT,-137.05,61.0333,830,7034.3375,-1.920823842,17.975,-34.14166667
1848,PELLY RANCH,YT,-137.311,62.83,445,7709.715385,-2.748271469,21.03928571,-46.09285714
1879,TESLIN A,YT,-132.736,60.1741,705,6751.48,-0.845939052,17.33181818,-32.36818182
1887,WATSON LAKE A,YT,-128.822,60.1165,687,7439.846154,-2.130490932,20.15483871,-41.17419355
1912,CAPE PARRY A,NT,-124.717,70.1667,87,10992.52308,-11.13839862,11.43888889,-36.60555556
1928,FORT GOOD HOPE CS,NT,-128.644,66.2422,82,8620.455556,-4.489975625,22.03333333,-39.81333333
1942,FORT PROVIDENCE,NT,-117.602,61.3169,162,7489.725,-1.891086737,20.2,-36.55454545
1944,FORT RELIANCE,NT,-109.167,62.7167,166,9012.7625,-7.227270003,18.8,-42.05
1951,FORT SIMPSON A,NT,-121.237,61.7603,169,7609.334783,-2.606780247,23.03076923,-38.23461538
1959,FORT SMITH A,NT,-111.962,60.0203,205,7276.614286,-1.761612069,22.928125,-37.153125
1968,HAY RIVER A,NT,-115.783,60.8397,165,7488.46,-2.488118641,22.98181818,-35.51212121
1979,INUVIK A,NT,-133.483,68.3042,68,9618.3,-8.347964392,20.26363636,-40.67272727
1994,NORMAN WELLS A,NT,-126.8,65.2825,73,8461.460714,-5.002916094,23.01935484,-41.21290323
2004,PAULATUK,NT,-124.083,69.3578,6,9754.766667,-8.369300912,16.67142857,-35.55714286
2015,RAE LAKES,NT,-117.328,64.1117,221,8430.7875,-4.86256435,19.95333333,-39.99333333
2042,YELLOWKNIFE A,NT,-114.44,62.4628,206,8142.065385,-4.057312292,20.425,-38.74642857
2044,YELLOWKNIFE-HENDERSON,NT,-114.383,62.45,200,7927.375,-2.637134263,22.55,-37.5
2064,BAKER LAKE A,NU,-96.0778,64.2989,19,10720.83889,-11.02122675,17.34782609,-41.30869565
2080,KUGLUKTUK A,NU,-115.144,67.8167,23,10271.64286,-10.25423685,18.88709677,-40.08387097
2086,CORAL HARBOUR A,NU,-83.3594,64.1933,62,10739.94167,-10.99894583,13.35882353,-41
2109,LUPIN A,NU,-111.25,65.7592,490,10535.84091,-10.72915288,18.87391304,-40.2173913
