Cli_ID,Name,lat,lon,elev (m),DRWP-RL5 (Pa)
4045600,NORTH BATTLEFORD A,52.77,-108.26,548,132.27
4056241,PRINCE ALBERT A,53.22,-105.67,428,86.59
4057152,SASKATOON DIEFENBAKER INT'L A,52.17,-106.72,504,129.82
4064155,LA RONGE A,55.15,-105.27,379,82.06
4067PR5,STONY RAPIDS A,59.25,-105.83,245,41.15
5010481,BRANDON A,49.91,-99.95,409,152.11
5023227,WINNIPEG RICHARDSON INT'L A,49.92,-97.23,239,154.78
5052881,THE PAS A,53.97,-101.1,270,87.87
5060605,CHURCHILL A,58.74,-94.06,29,176.37
5061022,GILLAM A,56.36,-94.71,145,116.45
5061375,ISLAND LAKE A,53.85,-94.65,235,82.3
5061646,LYNN LAKE A,56.86,-101.08,357,73.56
5062921,THOMPSON A,55.8,-97.86,223,97.37
506B047,NORWAY HOUSE A,53.95,-97.85,224,52.69
6034076,KENORA A,49.79,-94.37,410,92.7
6037776,SIOUX LOOKOUT A,50.12,-91.9,383,88.09
6042717,GERALDTON A,49.78,-86.93,349,79.43
6048262,THUNDER BAY A,48.37,-89.33,199,123.49
6057591,SAULT STE MARIE A,46.48,-84.51,192,93.63
6068153,SUDBURY A,46.63,-80.8,348,111.76
6073976,KAPUSKASING A,49.41,-82.47,227,75.06
6078286,TIMMINS VICTOR POWER A,48.57,-81.38,295,71.31
6085701,NORTH BAY A,46.36,-79.42,370,133.02
6106001,OTTAWA MACDONALD-CARTIER INT'L  A,45.32,-75.67,114,112.63
6119499,WIARTON A,44.75,-81.11,222,109.44
6127514,SARNIA AIRPORT,42.99,-82.3,181,143.06
6139527,WINDSOR A,42.28,-82.96,190,179.16
6144473,LONDON INT'L AIRPORT,43.03,-81.15,278,131.57
6153193,HAMILTON A,43.17,-79.93,238,174.31
6158731,TORONTO LESTER B. PEARSON INT'L A,43.68,-79.63,173,162.1
6158875,TRENTON A,44.12,-77.53,86,114.38
6158410,TORONTO BUTTONVILLE A,43.86,-79.37,198,115.88
6166418,PETERBOROUGH A,44.23,-78.37,191,75.29
7016293,QUEBEC/JEAN LESAGE INTL A,46.8,-71.38,74,174.2
7025251,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,45.47,-73.75,36,149.6
7027320,MONTREAL/ST-HUBERT A,45.52,-73.42,27,126.19
7028124,SHERBROOKE A,45.43,-71.68,241,80.48
7035290,MONTREAL/MIRABEL INT'L A,45.67,-74.03,82,88.07
7040440,BAIE-COMEAU A,49.13,-68.2,22,124.19
7047911,SEPT-ILES A,50.22,-66.27,55,200.01
7040815,LOURDES DE BLANC SABLON A,51.45,-57.18,37,292.64
7052601,GASPE A,48.78,-64.48,33,126.56
7045400,NATASHQUAN A,50.18,-61.82,11,199.02
7055121,MONT-JOLI A,48.6,-68.22,52,122.31
7060400,BAGOTVILLE A,48.33,-71,159,117.6
7066686,ROBERVAL A,48.52,-72.27,179,78.65
7091404,CHIBOUGAMAU CHAPAIS A,49.77,-74.53,387,107.43
7093716,LA GRANDE RIVIERE A,53.63,-77.7,195,103.1
7098600,VAL-D'OR A,48.06,-77.79,337,98.85
7103536,KUUJJUARAPIK A,55.28,-77.75,10,158.6
7113535,KUUJJUAQ A,58.1,-68.42,39,74.68
8100505,BATHURST A,47.63,-65.75,59,78.45
8101500,FREDERICTON A,45.87,-66.53,21,104.98
8103201,MONCTON A,46.1,-64.69,71,166.93
8104901,SAINT JOHN A,45.32,-65.89,109,201.46
8202000,GREENWOOD A,44.98,-64.92,28,204.34
8202251,HALIFAX STANFIELD INT'L A,44.88,-63.52,145,227.32
8205090,SHEARWATER A,44.63,-63.5,51,241.87
8205701,SYDNEY A,46.17,-60.05,62,212.1
8206495,YARMOUTH A,43.83,-66.09,43,170.17
8300301,CHARLOTTETOWN A,46.29,-63.13,49,166.93
8400600,BONAVISTA,48.67,-53.11,26,393.29
8401502,DEER LAKE A,49.22,-57.4,22,70.03
8401703,GANDER INT'L A,48.95,-54.58,151,198.31
8403505,ST JOHN'S A,47.62,-52.74,141,264.64
8403801,STEPHENVILLE A,48.53,-58.55,26,223.9
8501101,CARTWRIGHT,53.71,-57.04,14,185.34
8501900,GOOSE A,53.32,-60.42,49,103.24
8504176,WABUSH LAKE A,52.93,-66.87,551,58.86
