history_id,station_name,province,lon,lat,elev (m),annual_pr (mm)
709,MCLEESE LAKE GRANITE MT,BC,-122.286,52.5306,1133,561
715,OCHILTREE MIOCENE,BC,-121.724,52.2603,1027,543
724,PRINCE GEORGE A,BC,-122.679,53.8908,691,610
731,PRINCE GEORGE STP,BC,-122.767,53.88,579,574
737,QUESNEL A,BC,-122.51,53.0261,545,543
747,SPOKIN LAKE 4E,BC,-121.686,52.1836,1033,580
752,TWAN CREEK,BC,-122.617,52.4664,914,455
759,WILLIAMS LAKE A,BC,-122.054,52.1831,940,437
767,VANDERHOOF,BC,-124.017,54.0333,638,496
772,FRASER LAKE NORTH SHORE,BC,-124.847,54.0783,674,517
774,108 MILE HOUSE ABEL LAKE,BC,-121.263,51.6233,1005,425
782,ABBOTSFORD A,BC,-122.36,49.0253,59,1550
789,AGASSIZ CDA,BC,-121.76,49.2431,15,1758
808,BURNABY CAPITOL HILL,BC,-122.987,49.2861,183,1948
814,BURNABY MTN TERMINAL,BC,-122.933,49.2667,137,1895
815,BURNABY SIMON FRASER U,BC,-122.918,49.2784,366,1944
820,BURQUITLAM VANCOUVER GOLF COURSE,BC,-122.877,49.2517,122,1864
827,CHILLIWACK,BC,-121.925,49.1722,11,1756
841,COQUITLAM COMO LAKE AVE,BC,-122.866,49.2694,160,1884
845,CHILLIWACK R HATCHERY,BC,-121.704,49.08,225,1496
848,CULTUS LAKE,BC,-121.983,49.0833,46,1537
863,DELTA PEBBLE HILL,BC,-123.083,49,51,889
866,DELTA TSAWWASSEN BEACH,BC,-123.093,49.0109,2,926
875,HANEY EAST,BC,-122.558,49.2044,31,1765
878,HANEY UBC RF ADMIN,BC,-122.573,49.2645,147,2161
881,HATZIC LAKE,BC,-122.25,49.1667,25,1988
883,HOLLYBURN RIDGE,BC,-123.183,49.3833,930,2892
889,IOCO REFINERY,BC,-122.883,49.3,53,2039
896,LAIDLAW,BC,-121.579,49.3564,37,2148
912,MISSION,BC,-122.333,49.1333,60,1704
913,MISSION WEST ABBEY,BC,-122.271,49.1525,197,1859
926,N VANC GROUSE MTN RESORT,BC,-123.078,49.3811,1103,2589
933,N VANCOUVER 2ND NARROWS,BC,-123.015,49.2979,4,1847
936,N VANCOUVER WHARVES,BC,-123.115,49.3148,7,1755
942,PITT POLDER,BC,-122.631,49.2732,5,2221
