history_id,station_name,province,lon,lat,elevation (m),Tmean,Tmin (degC),Tmax (degC),HDD (degC-day)
814,BURNABY MTN TERMINAL,BC,-122.933,49.2667,137,11,-7,26,2776
827,CHILLIWACK,BC,-121.925,49.1722,11,11,-7,24,2758
838,CLOVERDALE EAST,BC,-122.698,49.1092,50,12,-5,23,2682
845,CHILLIWACK R HATCHERY,BC,-121.704,49.08,225,9,-8,24,3228
875,HANEY EAST,BC,-122.558,49.2044,31,10,-8,23,2998
878,HANEY UBC RF ADMIN,BC,-122.573,49.2645,147,10,-8,25,3016
881,HATZIC LAKE,BC,-122.25,49.1667,25,11,-8,24,2750
896,LAIDLAW,BC,-121.579,49.3564,37,11,-11,26,2954
910,MAPLE RIDGE KANAKA CREEK,BC,-122.507,49.2111,76,10,-7,23,3016
913,MISSION WEST ABBEY,BC,-122.271,49.1525,197,10,-8,25,2940
940,PITT MEADOWS CS,BC,-122.69,49.2083,5,10,-6,22,2877
942,PITT POLDER,BC,-122.631,49.2732,5,10,-8,23,3074
965,RICHMOND NATURE PARK,BC,-123.093,49.1708,3,11,-8,23,2838
967,SARDIS,BC,-121.895,49.0819,107,10,-8,25,2973
971,STAVE FALLS,BC,-122.367,49.2333,110,10,-5,24,2910
998,VANCOUVER HARBOUR CS,BC,-123.122,49.2954,3,11,-2,22,2615
1013,VANCOUVER UBC,BC,-123.25,49.25,76,10,-6,23,2866
1036,WHITE ROCK CAMPBELL SCIENTIFIC,BC,-122.784,49.0181,13,11,-4,22,2638
1039,WHITE ROCK STP,BC,-122.784,49.0186,13,11,-6,22,2764
1095,HOPE A,BC,-121.498,49.3683,39,10,-12,25,2955
1103,HOPE SLIDE,BC,-121.233,49.2667,685,6,-15,22,4234
1128,PORCUPINE CREEK,BC,-121.8,51.0333,1190,3,-27,20,5363
1147,HEDLEY,BC,-120.077,49.3572,517,9,-19,26,3660
1151,HIGHLAND VALLEY LORNEX,BC,-121.017,50.4667,1268,4,-25,23,4995
1153,JOE RICH CREEK,BC,-119.126,49.8572,875,5,-21,21,4773
1157,KELOWNA A,BC,-119.378,49.9561,430,8,-19,25,3850
1163,KELOWNA EAST,BC,-119.397,49.8595,491,9,-19,27,3759
1165,KELOWNA PC BURNETTS NURSERY,BC,-119.484,49.8742,350,9,-15,26,3397
1168,KELOWNA MWS0,BC,-119.4,49.95,456,9,-14,26,3432
1170,KEREMEOS 2,BC,-119.821,49.2103,435,10,-17,26,3435
1182,MERRITT STP,BC,-120.801,50.1142,609,8,-21,25,3813
1191,OKANAGAN CENTRE,BC,-119.445,50.0561,370,10,-11,26,3090
1198,OLIVER STP,BC,-119.545,49.179,297,11,-14,28,3239
1204,OSOYOOS WEST,BC,-119.443,49.0319,297,11,-14,27,3231
1208,PEACHLAND,BC,-119.717,49.7833,345,10,-15,27,3170
1217,PENTICTON A,BC,-119.602,49.4631,344,9,-13,27,3362
1220,PRINCETON A,BC,-120.513,49.4678,702,7,-22,24,4248
1226,SIMILKAMEEN MINE,BC,-120.55,49.35,940,6,-24,24,4496
1228,SUMMERLAND CDA,BC,-119.65,49.5667,454,9,-16,27,3470
