history_id,station_name,province,lon,lat,elev (m),TwJul2.5 (degC)
4935,SWAN RIVER RCS,MB,-101.233,52.115,335,21.5
4937,FLIN FLON,MB,-101.683,54.6833,304,19.9
4947,THE PAS A,MB,-101.1,53.9667,270,20.5
4957,CHURCHILL A,MB,-94.0664,58.7392,29,18.2
4970,GILLAM A,MB,-94.7106,56.3575,145,19.6
4976,ISLAND LAKE A,MB,-94.65,53.85,236,20.3
4978,KELSEY DAM CS,MB,-96.5097,56.0375,183,19.5
4988,LYNN LAKE A,MB,-101.076,56.8639,357,18.5
5016,TADOULE LAKE CS,MB,-98.5017,58.7158,262,17.8
5018,THOMPSON A,MB,-97.8625,55.8033,224,19.5
5029,NORWAY HOUSE A,MB,-97.85,53.95,224,20
5040,EAR FALLS (AUT),ON,-93.2214,50.6306,363,21.4
5046,LANSDOWNE HOUSE (AUT),ON,-87.9361,52.1961,253,20.6
5050,PEAWANUCK (AUT),ON,-85.4333,54.9833,53,19.1
5052,PICKLE LAKE (AUT),ON,-90.2178,51.4492,391,20.5
5074,ATIKOKAN (AUT),ON,-91.6281,48.7611,389,22
5100,DRYDEN A (AUT),ON,-92.7442,49.8317,413,21.8
5110,KENORA A,ON,-94.3653,49.7903,410,21.7
5119,ROYAL ISLAND (AUT),ON,-94.7631,49.4686,329,23.2
5123,SIOUX LOOKOUT A,ON,-91.9,50.1167,383,21.3
5138,ARMSTRONG (AUT),ON,-88.9053,50.2936,323,21.1
5148,CAMERON FALLS (AUT),ON,-88.3447,49.1539,233,21.2
5151,CARIBOU ISLAND (AUT),ON,-85.8333,47.3333,187,17.9
5157,GERALDTON A,ON,-86.9306,49.7828,348,20.5
5204,PUKASKWA (AUT),ON,-86.2947,48.5883,208,18.9
52245228,THUNDER BAY COMPOSITE,ON,-89.3272,48.3694,199,21.6
5234,UPSALA (AUT),ON,-90.4667,49.0333,489,21.6
5238,WELCOME ISLAND (AUT),ON,-89.1194,48.3692,211,19.7
5283,SAULT STE MARIE A,ON,-84.5094,46.4833,192,22.1
5292,WAWA (AUT),ON,-84.7833,47.9667,287,19.9
5297,KILLARNEY (AUT),ON,-81.4833,45.9667,196,20.3
5329,SUDBURY A,ON,-80.7978,46.6256,348,21.4
5345,EARLTON AWOS,ON,-79.8489,47.695,243,22.8
