irlat,irlon,RL50 (kPa),rlat,rlon,lat,lon,elev (m),station_name,province,model_values,ratio
661,1024,0.386,0.27785930544065024,11.04782465123829,46.6256,-80.7978,348.0,SUDBURY A,ON,0.3481656610965729,0.9288124335756069
661,1128,0.39399999999999996,0.2806495088143387,15.648523738310713,45.5,-74.3667,46.0,RIGAUD,QC,0.403857558965683,0.8173247625047309
662,1146,0.413,0.34872560816845866,16.447024680651992,45.3333,-73.25,30.0,IBERVILLE,QC,0.3916011154651642,0.883553359484863
662,1158,0.46799999999999997,0.35043721364910185,16.950859185149188,45.1833,-72.5667,206.0,BROME,QC,0.41945844888687134,0.9347243525627614
663,1118,0.526,0.361483120581601,15.211915468380836,45.7,-74.9333,197.0,MONTEBELLO (SEDBERGH),QC,0.407659649848938,1.080972555973715
663,1136,0.413,0.3845159255402604,15.995474941061378,45.5,-73.85,23.0,STE GENEVIEVE,QC,0.39661914110183716,0.8723746417937641
663,1138,0.47600000000000003,0.3730154780297401,16.072237754624673,45.4667,-73.75,36.0,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,QC,0.3923739194869995,1.0163270180671964
663,1139,0.5670000000000001,0.378677196996154,16.15032437560446,45.44933929,-73.64116429,45.0,LAVALTRIE CDA composite,QC,0.3902512788772583,1.217209617037681
663,1163,0.431,0.3750065977850023,17.189960041690064,45.1333,-72.2333,267.0,GEORGEVILLE,QC,0.4318031072616577,0.8362153935271751
664,1128,0.474,0.43111426674639375,15.628350571746576,45.65,-74.3333,91.0,LACHUTE,QC,0.4143756926059723,0.9583203733259645
664,1140,0.47,0.43899501354061177,16.174297228821235,45.5,-73.5833,57.0,MONTREAL MCGILL,QC,0.3916347026824951,1.005410326229909
665,1169,0.395,0.4860499102898444,17.47520195436037,45.15,-71.8,259.0,COATICOOK,QC,0.4354618489742279,0.7599300783960344
666,1132,0.444,0.5070676872066261,15.82450983689447,45.6667,-74.0333,83.0,MONTREAL/MIRABEL INT'L A,QC,0.4171599745750427,0.8916758180151083
666,1134,0.433,0.521333283639665,15.929713258832273,45.65,-73.8833,61.0,STE THERESE OUEST,QC,0.410390168428421,0.883929441532259
666,1142,0.446,0.4892824791896059,16.280985270212184,45.5167,-73.4167,27.0,MONTREAL/ST-HUBERT A,QC,0.39333662390708923,0.9499420750222911
666,1154,0.408,0.5088716677241474,16.78949405383804,45.3833,-72.7167,175.0,GRANBY,QC,0.4052582085132599,0.8434415544369709
666,1164,0.43700000000000006,0.5272872692490097,17.226791433609083,45.2667,-72.1167,274.0,MAGOG,QC,0.4255349934101105,0.8603453354183423
668,1155,0.537,0.6005135224791582,16.855793371577782,45.45045263,-72.58703684,146.0,ST HYACINTHE composite,QC,0.40713122487068176,1.1050108057679764
668,1161,0.40299999999999997,0.6214263288690471,17.08527176163669,45.4,-72.2667,297.0,BONSECOURS,QC,0.4201326072216034,0.8036099548640454
