ilocy,ilocx,TJul2.5 (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals
666,1142,303.15,0.48964401105371524,16.280800318877034,45.5171,-73.4168,MONTREAL/ST-HUBERT A COMPOSITE,0.9968614785031819,305.31805419921875
668,1049,302.15,0.6116695306403618,12.166449577432108,46.7097,-79.1011,BARRAGE TEMISCAMINGUE,1.0007119879154933,303.1399841308594
669,1266,295.84999999999997,0.6616967255468574,21.753266688790557,43.8308,-66.0886,YARMOUTH A,0.9933201502565068,299.02813720703125
670,1142,302.75,0.6947422191111929,16.24677900758758,45.7231,-73.3767,VARENNES,0.9964056382780679,305.0546875
670,1167,301.95,0.6886805319462729,17.390734475406397,45.3689,-71.8236,LENNOXVILLE,1.0030293103316263,302.23944091796875
671,1099,302.15,0.7156331962537236,14.348255532286624,46.2747,-75.9919,MANIWAKI AIRPORT,1.0004487143499339,303.2197570800781
672,1140,302.84999999999997,0.7652575197208127,16.182646599358296,45.8094,-73.4347,L'ASSOMPTION,0.9984259624833045,304.5379638671875
672,1169,301.4025,0.7807929838028224,17.463999638422727,45.4333,-71.6833,SHERBROOKE A,1.0020094767168566,301.99847412109375
673,1122,301.65,0.8000267506142459,15.358025625125332,46.0803,-74.5558,ST-JOVITE,1.0014690154070862,302.4095764160156
673,1126,300.65,0.8244980392844867,15.547958374592634,46.05,-74.2833,STE AGATHE DES MONTS,0.9973145075023119,302.6626281738281
677,1258,294.04999999999995,1.0130631992300436,21.40976422531739,44.2858,-66.3467,BRIER ISLAND,0.9879440920876057,298.82611083984375
679,959,297.54999999999995,1.1072814606393633,8.146944438375767,47.9667,-84.7833,WAWA (AUT),0.9903068820036088,301.6614990234375
680,890,301.54999999999995,1.1206948848156557,5.08967868562008,48.3694,-89.3272,THUNDER BAY A COMPOSITE,0.9952353218393727,304.2028503417969
682,1286,296.95,1.2052549376769126,22.638199832678378,43.99,-64.6642,WESTERN HEAD,0.9971076446949374,298.9998779296875
684,1149,301.45,1.324199050408167,16.57320591671965,46.2258,-72.6572,NICOLET,0.9963912546068118,303.7491760253906
684,1248,298.75,1.2872699655585567,20.949284627149368,44.7121,-66.8019,GRAND MANAN SAR CS,0.9988665832805105,300.2825927734375
686,854,301.65,1.3834345065619407,3.5392528701002495,48.7611,-91.6281,ATIKOKAN (AUT),0.9902504782766977,305.8355712890625
