ilocy,ilocx,HDD (degC-day),rlat,rlon,lat,lon,station_name,ratio,model_vals
603,1048,4433.0,-2.2636477744192036,12.106430139619064,43.9184,-80.0864,ORANGEVILLE MOE,1.1566710378933922,3811.0189424105747
603,1059,3723.0,-2.3012399580428746,12.57237144415825,43.78,-79.4678,TORONTO NORTH YORK,1.0126561362534376,3655.8155432168082
604,1022,3790.0,-2.241321589381504,10.972174998558373,44.1728,-81.6233,KINCARDINE,1.0436829075186316,3610.96996714564
604,1062,3885.0,-2.24387654203197,12.73301417766345,43.8,-79.2333,TORONTO MALVERN,1.0654799875593788,3625.75925003466
605,1033,4307.0,-2.20819786821322,11.417963386519043,44.1164,-81.0058,HANOVER,1.1207233782481814,3821.463165235901
605,1058,3916.0,-2.2032653790882666,12.564815949223863,43.8772,-79.4478,RICHMOND HILL,1.0508960445169007,3705.409095167306
605,1059,4091.0,-2.203136713592852,12.612519283256612,43.8667,-79.3833,GORMLEY ARDENLEE,1.1024775445410195,3689.8861340464186
605,1060,3951.0,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,1.0692473621093883,3674.363172925531
607,1026,4320.0,-2.1129955462159336,11.13405684862998,44.2667,-81.3667,PAISLEY,1.1665971498078005,3682.273760571113
607,1040,4793.0,-2.086565409940424,11.75125646889718,44.1667,-80.5167,PROTON STATION,1.2295814242853198,3876.1749710699337
607,1061,4146.0,-2.084160802863321,12.683738271548572,43.9667,-79.25,STOUFFVILLE WPCP,1.1133882921591798,3702.848001562478
607,1068,3787.0,-2.113258297105187,12.998996944329729,43.8667,-78.8333,OSHAWA WPCP,1.0384216237334503,3626.39259653455
608,1055,4261.0,-2.07532116856368,12.423288218542075,44.0333,-79.6,BRADFORD MUCK RESEARCH,1.1126863858863159,3807.9566640764033
608,1057,4225.0,-2.07826530969464,12.48541277998624,44.0167,-79.5167,KING SMOKE TREE,1.1094074998116972,3786.943740924945
608,1071,3999.0,-2.0368723211683046,13.104326222048623,43.9167,-78.6667,BOWMANVILLE MOSTERT,1.0965746851054063,3626.322509765625
609,1040,4682.0,-1.9976029764428336,11.768849235202438,44.25,-80.4667,PORT LAW,1.2019139243187307,3873.568855285718
609,1050,4022.0,-2.0028898354841,12.2065379573681,44.1514,-79.8722,ALLISTON NELSON,1.0444799046912658,3829.0868320101367
