ilocy,ilocx,Q10_Gumbel-MM,rlat,rlon,lat,lon,station_name,ratio,model_vals
666,1132,0.175,0.5192700488528611,15.816969557831044,45.68055556,-74.03861111,MONTREAL MIRABEL INTL A,0.8401922022694058,0.17585833370685577
666,1142,0.314,0.48999635800437125,16.28058561419673,45.5175,-73.41694444,MONTREAL-ST-HUBERT,1.2735003087520265,0.20817767083644867
668,1049,0.086,0.611689446314243,12.166437121629148,46.70972222,-79.10111111,BARRAGE TEMISCAMINGUE,0.9391770618106834,0.07731335610151291
669,1266,0.317,0.6582772202422525,21.75509070422866,43.82694444,-66.08805556,YARMOUTH A,1.4565922452819762,0.18374893069267273
670,1142,0.28600000000000003,0.6947066382437866,16.246814370360987,45.72305556,-73.37666667,VARENNES,1.1543874512206846,0.20917895436286926
670,1167,0.15,0.6886675344034751,17.390730548630025,45.36888889,-71.82361111,LENNOXVILLE,1.369974660300879,0.0924447551369667
671,1099,0.127,0.7156465063613154,14.348220031587388,46.27472222,-75.99194444,MANIWAKI AIRPORT,1.452175747931829,0.07383938878774643
672,1140,0.159,0.7652954192167273,16.18261869647524,45.80944444,-73.43472222,L'ASSOMPTION,0.7125102160921372,0.18841244280338287
672,1169,0.18100000000000002,0.7840438481593633,17.456938030254612,45.43861111,-71.69138889,SHERBROOKE,1.6011655405317726,0.09544339776039124
673,1122,0.051,0.799998920943068,15.358009694295855,46.08027778,-74.55583333,ST-JOVITE,0.4960015803527828,0.08681418001651764
673,1126,0.182,0.8244914525008411,15.547936197870108,46.05,-74.28333333,STE AGATHE DES MONTS,1.6103412390665546,0.0954238697886467
677,1258,0.47200000000000003,1.013103054271252,21.40977380568075,44.28583333,-66.34666667,BRIER ISLAND,2.3380035203053513,0.1704513281583786
679,959,0.16,1.1072002167220376,8.144863040258011,47.96694444,-84.78638889,WAWA A,1.291023979660635,0.10463795065879822
680,890,0.22,1.123588995196667,5.093086699236781,48.37194444,-89.32166667,THUNDER BAY A,1.9729276967252658,0.09414885938167572
682,1286,0.301,1.2052816300768616,22.63821273524277,43.99001944,-64.66416889,WESTERN HEAD,1.1304485866564933,0.2248118668794632
684,1149,0.22699999999999998,1.324226130258862,16.573181133601576,46.22583333,-72.65722222,NICOLET,1.0416587777422472,0.1839941143989563
