ilocy,ilocx,SL50 (kPa),rlat,rlon,lat,lon,station_name,ratio,model_vals
657,1141,1.7,0.09970703767826301,16.204535378802806,45.1667,-73.6833,STE CLOTHILDE CDA,0.8297422728732926,1.484930396080017
658,1081,2.9,0.16636607784747412,13.543748046258958,45.95,-77.3167,PETAWAWA A,1.1699159559582277,1.7965682744979858
659,1081,2.1,0.19407473605052883,13.584505642712083,45.9667,-77.25,SHEENBORO,0.8285275937067258,1.8370150327682495
659,1157,2.6,0.2143332821945056,16.907970562019244,45.0667,-72.6833,SUTTON,1.0883655811363213,1.7314060926437378
660,1046,3.3,0.2247059616752298,12.02855117692835,46.3636,-79.4228,NORTH BAY A,1.1676843585257128,2.0482778549194336
660,1148,2.3,0.2478536721012904,16.515278173256952,45.2167,-73.2,SABREVOIS,1.1339658286319256,1.4700369834899902
661,1024,3.3,0.27785930544065024,11.04782465123829,46.6256,-80.7978,SUDBURY A,1.2119037295364485,1.973541259765625
661,1128,2.3,0.2806495088143387,15.648523738310713,45.5,-74.3667,RIGAUD,1.088354129201147,1.531644582748413
662,1146,1.9,0.34872560816845866,16.447024680651992,45.3333,-73.25,IBERVILLE,0.960568871028331,1.4335917234420776
662,1158,2.5,0.35043721364910185,16.950859185149188,45.1833,-72.5667,BROME,0.9928949003411485,1.8248918056488037
663,1118,2.8,0.361483120581601,15.211915468380836,45.7,-74.9333,MONTEBELLO (SEDBERGH),1.122583571354889,1.807755708694458
663,1136,2.3,0.3845159255402604,15.995474941061378,45.5,-73.85,STE GENEVIEVE,1.140409108969214,1.4617313146591187
663,1138,2.3,0.3730154780297401,16.072237754624673,45.4667,-73.75,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,1.1692570792502466,1.425667405128479
663,1139,4.1,0.378677196996154,16.15032437560446,45.44933929,-73.64116429,LAVALTRIE CDA composite,2.1110282906972526,1.4076354503631592
663,1163,3.0,0.3750065977850023,17.189960041690064,45.1333,-72.2333,GEORGEVILLE,1.0684589121290224,2.0349972248077393
664,1128,2.3,0.43111426674639375,15.628350571746576,45.65,-74.3333,LACHUTE,1.010082803434475,1.650331735610962
664,1140,3.3,0.43899501354061177,16.174297228821235,45.5,-73.5833,MONTREAL MCGILL,1.7161221180951647,1.3936898708343506
665,1169,2.5,0.4860499102898444,17.47520195436037,45.15,-71.8,COATICOOK,0.8027813733750152,2.2570600509643555
666,1099,2.9,0.5043901353927333,14.364356559816647,46.0667,-76.05,WRIGHT,1.0534005072077486,1.9952846765518188
666,1132,3.0,0.5070676872066261,15.82450983689447,45.6667,-74.0333,MONTREAL/MIRABEL INT'L A,1.329305500907231,1.6356743574142456
666,1134,2.2,0.521333283639665,15.929713258832273,45.65,-73.8833,STE THERESE OUEST,0.9996020294903831,1.5951294898986816
666,1142,2.7,0.4892824791896059,16.280985270212184,45.5167,-73.4167,MONTREAL/ST-HUBERT A,1.3879646179760599,1.4098917245864868
666,1154,2.3,0.5088716677241474,16.78949405383804,45.3833,-72.7167,GRANBY,0.9692489830051593,1.7198591232299805
666,1164,2.1,0.5272872692490097,17.226791433609083,45.2667,-72.1167,MAGOG,0.725710843268664,2.097278356552124
668,1049,2.5,0.6116695306403618,12.166449577432108,46.7097,-79.1011,BARRAGE TEMISCAMINGUE,0.8531669847439086,2.1237645149230957
668,1155,4.2,0.6005135224791582,16.855793371577782,45.45045263,-72.58703684,ST HYACINTHE composite,1.7224993234845645,1.7672200202941895
668,1161,3.3,0.6214263288690471,17.08527176163669,45.4,-72.2667,BONSECOURS,1.1979316767007164,1.9965596199035645
668,1174,3.4,0.6002534616609015,17.66009565819819,45.2,-71.5,ST MALO D AUCKLAND,1.039630569041528,2.370283365249634
669,1146,2.2,0.6436379439510136,16.440798499950514,45.6167,-73.1333,STE MADELEINE,1.0137488428646024,1.5728695392608643
669,1150,2.5,0.6413453724906322,16.600395614683634,45.5667,-72.9167,ST HYACINTHE 2,1.095812720214247,1.6534994840621948
669,1266,2.1,0.6616967255468574,21.753266688790557,43.8308,-66.0886,YARMOUTH A,2.3100125935529987,0.65887850522995
670,1167,2.6,0.6886805319462729,17.390734475406397,45.3689,-71.8236,LENNOXVILLE,0.8568327066556654,2.199265718460083
671,1098,3.2,0.7391769186864998,14.331629182838835,46.3018,-76.0061,MANIWAKI UA,1.1175660019721843,2.075282335281372
671,1141,2.7,0.738457158552364,16.240560473908765,45.7667,-73.3667,VERCHERES,1.2373120222964764,1.581557273864746
671,1267,2.6,0.7390764935272756,21.803607253579266,43.8833,-65.9833,TUSKET,2.842798808863497,0.662868857383728
672,1140,2.6,0.7652575197208127,16.182646599358296,45.8094,-73.4347,L'ASSOMPTION,1.1374416988054261,1.6567027568817139
672,1165,2.1,0.7695743040876517,17.270669708561627,45.4833,-71.95,BROMPTONVILLE,0.7113999869891978,2.139468193054199
672,1169,3.1,0.7807929838028224,17.463999638422727,45.4333,-71.6833,SHERBROOKE A,0.9914639009388438,2.26613187789917
673,1126,4.0,0.8244980392844867,15.547958374592634,46.05,-74.2833,STE AGATHE DES MONTS,1.313018642405792,2.207951307296753
673,1131,3.9,0.816943782864911,15.7555788147033,45.9833,-74.0,ST HIPPOLYTE,1.3691884701440125,2.0644376277923584
