ilocy,ilocx,DRWP-RL5 (Pa),rlat,rlon,lat,lon,station_name,ratio,model_vals
669,1266,170.17,0.6605737970484465,21.752634957981346,43.83,-66.09,YARMOUTH A,1.4001181163710614,146.2373809814453
672,1169,80.48,0.7783915655243182,17.467238170931005,45.43,-71.68,SHERBROOKE A,1.5116057681880641,64.06037902832031
680,889,123.49,1.1211088640521871,5.087768190509344,48.37,-89.33,THUNDER BAY A,2.177218577464232,68.24484252929688
697,686,147.88,1.869714666644633,-3.8973694901235145,49.22,-102.97,ESTEVAN A,0.752172314247358,236.55502319335938
701,1273,204.34,2.0438012776929453,22.080977421467214,44.98,-64.92,GREENWOOD A,1.8063034967810792,136.11398315429688
702,1007,71.31,2.102726495138001,10.270054953071986,48.57,-81.38,TIMMINS VICTOR POWER A,1.2244314355631736,70.07386016845703
702,1256,201.46,2.092958976021859,21.318142454701604,45.32,-65.89,SAINT JOHN A,1.2838496539580648,188.8055419921875
702,1297,241.87,2.1254943325122366,23.14509633468109,44.63,-63.5,SHEARWATER A,1.34641316907214,216.14427185058594
703,1062,98.85,2.132532631273356,12.712630758471704,48.06,-77.79,VAL-D'OR A,1.2382736806342638,96.05060577392578
703,1164,174.2,2.1436130326570892,17.229856923702783,46.8,-71.38,QUEBEC/JEAN LESAGE INTL A,2.0670101994113375,101.40178680419922
707,813,92.7,2.3187489708591213,1.6989479410027093,49.79,-94.37,KENORA A,1.2710539982630782,87.75175476074219
707,1295,227.32,2.3480541617565347,23.030253230538953,44.88,-63.52,HALIFAX STANFIELD INT'L A,1.1013055780020389,248.353271484375
709,771,154.78,2.420219336049937,-0.14821899423706963,49.92,-97.23,WINNIPEG RICHARDSON INT'L A,0.9108416594560684,204.46173095703125
709,1242,104.98,2.433072812459048,20.69527171479711,45.87,-66.53,FREDERICTON A,1.3307997068352309,94.91480255126953
710,732,152.11,2.4460824179201417,-1.9010121922279017,49.91,-99.95,BRANDON A,1.1472684097941794,159.5264892578125
715,921,79.43,2.700607876337577,6.490081182327894,49.78,-86.93,GERALDTON A,1.33680894892499,71.49164581298828
716,848,88.09,2.7273460622498065,3.271190957095512,50.12,-91.9,SIOUX LOOKOUT A,1.534206074369002,69.08487701416016
717,987,75.06,2.7898168263413057,9.406109967016995,49.41,-82.47,KAPUSKASING A,1.2570598467510226,71.8443603515625
725,651,156.78,3.1300969572435338,-5.4541435613351,50.33,-105.55,MOOSE JAW A,0.8440019012037109,223.50503540039062
725,1267,166.93,3.136918899213019,21.788369495602726,46.1,-64.69,MONCTON A,1.5289067931841536,131.36917114257812
726,545,122.81,3.1648949101787034,-10.173589413310992,49.63,-112.8,LETHBRIDGE A,0.8604137693754178,171.73802185058594
726,664,182.29,3.171095928497354,-4.884752815381564,50.43,-104.67,REGINA A,0.9856251239902283,222.5313262939453
729,576,138.14,3.295460789554835,-8.780157854763987,50.02,-110.72,MEDICINE HAT A,0.860009943722438,193.26626586914062
735,502,61.31,3.5691143259561047,-12.064648920396296,49.61,-115.78,CRANBROOK A,1.3603539584450794,54.22748565673828
735,1139,78.65,3.5883519077593693,16.119235659676907,48.52,-72.27,ROBERVAL A,1.399061720819107,67.63973999023438
737,1158,117.6,3.674831605462993,16.980538576487174,48.33,-71.0,BAGOTVILLE A,2.2185239051045564,63.77981948852539
739,1287,166.93,3.7462114461749345,22.70154606832889,46.29,-63.13,CHARLOTTETOWN A,1.5906594645197938,126.26914978027344
742,697,119.44,3.8906220120430364,-3.4270520879033333,51.27,-102.47,YORKTON A,0.8022857540225002,179.12689208984375
746,387,105.21,4.070328232587682,-17.145829610603112,48.65,-123.43,VICTORIA INT'L A,0.8068628577375768,156.89076232910156
746,447,83.42,4.071458504213554,-14.502116983838423,49.46,-119.6,PENTICTON A,3.0165370121323507,33.273738861083984
749,405,107.62,4.202632323435258,-16.35457488161807,49.03,-122.36,ABBOTSFORD A,1.024815863064433,126.35348510742188
751,1238,78.45,4.264324492414489,20.522791488754674,47.63,-65.75,BATHURST A,1.1089316587593525,85.11933898925781
753,1098,107.43,4.344891695149755,14.333052497375974,49.77,-74.53,CHIBOUGAMAU CHAPAIS A,1.276536250102336,101.25873565673828
