ilocy,ilocx,mean RH (%),rlat,rlon,lat,lon,station_name,ratio,model_vals
600,1057,72.0,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,0.970469823964178,82.802490234375
600,1060,71.0,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO CITY,0.9584777513966455,82.67405700683594
603,1037,80.0,-2.300804570575231,11.625346633334846,43.9833,-80.75,MOUNT FOREST (AUT),1.0677870134142482,83.61771392822266
605,1060,72.0,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,0.96995924327444,82.84607696533203
611,1051,78.0,-1.9090728517835933,12.250936972318437,44.2333,-79.7833,EGBERT CS,1.0474373962880885,83.1111831665039
611,1078,75.0,-1.9198534980984727,13.446682564305245,43.95,-78.1667,COBOURG (AUT),1.01705228123383,82.3021011352539
613,1095,79.0,-1.8540076319615553,14.186073428531435,43.8333,-77.15,POINT PETRE (AUT),1.1014530818880406,80.04865264892578
616,1043,75.0,-1.7154697341383163,11.8907013659687,44.5,-80.2167,COLLINGWOOD,1.0213829445171305,81.95314025878906
617,1074,74.0,-1.6786484471005159,13.239909508912735,44.2333,-78.3667,PETERBOROUGH A,1.0008301878949941,82.52095794677734
617,1087,74.0,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,1.0252793990219404,80.55313110351562
618,1028,76.0,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,1.0457698783920173,81.1092529296875
618,1054,76.0,-1.628527286900477,12.358775206404447,44.4833,-79.55,BARRIE-ORO,1.0303185197582496,82.32562255859375
620,1059,80.0,-1.5131887286064079,12.576260729874983,44.5472,-79.2167,LAGOON CITY,1.0915476233195236,81.79753875732422
623,1102,74.0,-1.3803565049833204,14.473210899310928,44.2186,-76.5967,KINGSTON A,1.0312592465395132,80.0860366821289
627,1018,78.0,-1.2026810418927736,10.75774702274823,45.2333,-81.6333,TOBERMORY RCS,1.0689503484577143,81.43854522705078
629,1016,76.0,-1.1183024600454283,10.66923702540505,45.3333,-81.7333,COVE ISLAND (AUT),1.0442340482600998,81.22854614257812
629,1055,72.0,-1.1177117079756498,12.424309244301325,44.9667,-79.3,MUSKOKA A,1.0046155531528893,79.98812866210938
631,1112,80.0,-1.049403624583132,14.937137653778311,44.4167,-75.85,GRENADIER ISLAND,1.1402551990951888,78.3034439086914
633,1053,78.0,-0.9647414367555113,12.31469598686252,45.1403,-79.4028,BEATRICE CLIMATE,1.092684052245607,79.6696548461914
635,1042,77.0,-0.864689730664254,11.829329505586019,45.3442,-80.0442,PARRY SOUND CCG,1.0738556909986876,80.0272216796875
637,1077,77.0,-0.7819622248401432,13.376963697208172,45.0714,-77.8789,BANCROFT AUTO,1.1259201125789593,76.32662963867188
639,1000,77.0,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,GORE BAY A,1.059850521089077,81.08472442626953
644,1112,76.0,-0.4461626144289343,14.929598665935082,45.0,-75.6333,KEMPTVILLE CS,1.0857134729299671,78.12522888183594
645,1068,77.0,-0.39870248083069254,13.001626368921663,45.5333,-78.2667,ALGONQUIN PARK EAST GATE,1.1198043455901021,76.74348449707031
647,968,77.0,-0.3282026503152139,8.56463998274487,46.4833,-84.5094,SAULT STE MARIE A,1.064346077982256,80.74224090576172
649,998,72.0,-0.227597160255603,9.91027875327784,46.3514,-82.5614,ELLIOT LAKE A,1.001662311903173,80.22396087646484
651,1109,70.0,-0.14229068458931268,14.818651720335906,45.3225,-75.6692,OTTAWA MACDONALD-CARTIER INT'L A,0.9884470993376621,79.03829193115234
652,1108,74.0,-0.0926557441963778,14.770203286375427,45.3833,-75.7167,OTTAWA CDA RCS,1.047450720017428,78.84806823730469
656,1110,70.0,0.06410095049558565,14.835748466185432,45.5167,-75.5667,GATINEAU A,0.9945042430603931,78.55690002441406
657,1141,75.0,0.1010906457365428,16.207356591627608,45.1672,-73.6789,STE-CLOTILDE,1.0714632405276898,78.12264251708984
658,1081,73.0,0.16636607784747412,13.543748046258958,45.95,-77.3167,PETAWAWA A,1.0649051376362235,76.50765228271484
