ilocy,ilocx,annual_pr (mm),rlat,rlon,lat,lon,station_name,ratio,model_vals
590,1054,871.0,-2.851997203751697,12.387474338992014,43.2833,-79.8833,HAMILTON RBG,1.0710933130153004,900.23828125
590,1056,853.0,-2.865988623708885,12.47770856611043,43.25,-79.7667,HAMILTON MUNICIPAL LAB,1.0498247837933654,899.4951782226562
590,1063,838.0,-2.87199134716758,12.753426345960174,43.1833,-79.4,VINELAND STATION,1.052760243586709,881.2135620117188
590,1065,892.0,-2.8502163436945627,12.848272183585957,43.1833,-79.2667,PORT DALHOUSIE,1.128155327523932,875.3114013671875
590,1068,949.0,-2.8686918482263937,12.990070953040247,43.1333,-79.0833,NIAGARA FALLS,1.1872683203029462,884.879150390625
591,1045,939.0,-2.821007126714072,11.98306561318483,43.4,-80.4167,PRESTON,1.0829668587055756,959.8802490234375
591,1053,937.0,-2.8325470237412183,12.320899701268427,43.3167,-79.9667,MILLGROVE,1.1457202805329731,905.3731689453125
591,1055,857.0,-2.795279070434739,12.412138091375304,43.3333,-79.8333,BURLINGTON TS,1.0487607703518234,904.6300659179688
591,1066,874.0,-2.817509219258394,12.915619247015943,43.2,-79.1667,ST CATHARINES A,1.1091292111056277,872.3603515625
592,1043,927.0,-2.7548173961608056,11.89447541818677,43.4833,-80.5167,WATERLOO WPCP,1.05881596641565,969.2278442382812
592,1046,904.0,-2.767016061611644,11.996249233882299,43.45,-80.3833,WATERLOO WELLINGTON A,1.0475227474737678,955.3699951171875
595,1028,1177.0,-2.6528716485811477,11.23121942537366,43.7183,-81.3836,BLYTH,1.4513794721952793,897.7638549804688
595,1057,802.0,-2.617091601702627,12.521162503880932,43.4833,-79.6333,OAKVILLE SOUTHEAST WPCP,0.9740178274421838,911.5365600585938
596,1039,983.0,-2.58781526238027,11.715347118043752,43.6839,-80.7103,GLEN ALLAN,1.1251667756590964,967.1709594726562
597,1058,764.0,-2.5250905755972433,12.549884388413581,43.5667,-79.5667,LAKEVIEW MOE,0.9343262293232809,905.2352294921875
598,1044,913.0,-2.5203148049109165,11.946180500656526,43.7017,-80.3789,FERGUS MOE,1.0499743111516158,962.6285400390625
598,1045,950.0,-2.4806352869286536,11.973562357271483,43.7347,-80.3303,FERGUS SHAND DAM,1.0977598682542344,958.038330078125
598,1053,847.0,-2.5031706747586946,12.31280182233183,43.64,-79.8792,GEORGETOWN WWTP,1.017880772248855,921.1983032226562
599,1025,1107.0,-2.442376887557362,11.10292505991431,43.95,-81.5,LUCKNOW,1.4052076296838374,872.114990234375
599,1031,994.0,-2.4773786787109904,11.366001661149262,43.8633,-81.1522,WROXETER,1.1669896008282763,942.9442749023438
599,1061,758.0,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,0.9414219221428719,891.356689453125
600,1054,802.0,-2.397004874660827,12.36020391446482,43.7333,-79.7833,HEART LAKE,0.9694224453703997,915.8575439453125
600,1057,788.0,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,0.9648559144500298,904.1289672851562
600,1060,817.0,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO,1.0113505082919345,894.3077392578125
601,1062,794.0,-2.3873070477781435,12.704214421277252,43.6667,-79.3167,TORONTO ASHBRIDGES BAY,0.9912780751426538,886.73046875
602,1053,890.0,-2.327916851748337,12.32637283896129,43.8081,-79.8081,SANDHILL,1.0728897226364242,918.3358764648438
602,1056,779.0,-2.3191600885020183,12.478488442384476,43.7833,-79.6,WOODBRIDGE,0.95122854803091,906.6072998046875
603,1043,975.0,-2.2644885750578165,11.875340169110592,43.9667,-80.4,MONTICELLO,1.1202673333216069,963.4952392578125
603,1048,899.0,-2.2636477744192036,12.106430139619064,43.9184,-80.0864,ORANGEVILLE MOE,1.0581497771345545,940.5441284179688
603,1057,798.0,-2.300210846413376,12.486566013188312,43.8,-79.5833,PINE GROVE,0.9794258554715901,901.982177734375
603,1059,844.0,-2.2735308044335856,12.603907460959604,43.8,-79.4167,THORNHILL GRANDVIEW,1.0449422994907926,894.1631469726562
603,1062,776.0,-2.2817473232017518,12.716996839653257,43.7667,-79.2667,TORONTO ELLESMERE,0.9724799722611445,883.3802490234375
604,1050,907.0,-2.2279269965201567,12.199222648857255,43.9333,-79.95,GLEN HAFFY MONO MILLS,1.078951673542692,930.6190185546875
604,1052,790.0,-2.2258870394899612,12.284939610081308,43.9167,-79.8333,ALBION FIELD CENTRE,0.9491336022239891,921.4385375976562
605,1033,1060.0,-2.20819786821322,11.417963386519043,44.1164,-81.0058,HANOVER,1.203311337512258,975.2017822265625
