ilocy,ilocx,annual_rain (mm),rlat,rlon,lat,lon,station_name,ratio,model_vals
590,1056,740.0,-2.865988623708885,12.47770856611043,43.25,-79.7667,HAMILTON MUNICIPAL LAB,1.0434498454211059,822.5151977539062
590,1063,720.0,-2.87199134716758,12.753426345960174,43.1833,-79.4,VINELAND STATION,1.0366518010807282,805.5330810546875
590,1065,765.0,-2.8502163436945627,12.848272183585957,43.1833,-79.2667,PORT DALHOUSIE,1.1091670422191946,799.9231567382812
590,1068,790.0,-2.8686918482263937,12.990070953040247,43.1333,-79.0833,NIAGARA FALLS,1.1360977846309757,806.48291015625
591,1045,786.0,-2.821007126714072,11.98306561318483,43.4,-80.4167,PRESTON,1.0547750123954862,864.26416015625
591,1053,794.0,-2.8325470237412183,12.320899701268427,43.3167,-79.9667,MILLGROVE,1.1125631472548134,827.7127075195312
591,1055,744.0,-2.795279070434739,12.412138091375304,43.3333,-79.8333,BURLINGTON TS,1.0434471287272344,826.96337890625
591,1066,746.0,-2.817509219258394,12.915619247015943,43.2,-79.1667,ST CATHARINES A,1.0854252304796266,797.1181640625
592,1043,768.0,-2.7548173961608056,11.89447541818677,43.4833,-80.5167,WATERLOO WPCP,1.0285415090126797,866.0105590820312
592,1046,761.0,-2.767016061611644,11.996249233882299,43.45,-80.3833,WATERLOO WELLINGTON A,1.0254086813764518,860.7389526367188
595,1028,830.0,-2.6528716485811477,11.23121942537366,43.7183,-81.3836,BLYTH,1.2084947122672978,796.5574951171875
595,1057,718.0,-2.617091601702627,12.521162503880932,43.4833,-79.6333,OAKVILLE SOUTHEAST WPCP,1.001061385088155,831.8547973632812
596,1039,789.0,-2.58781526238027,11.715347118043752,43.6839,-80.7103,GLEN ALLAN,1.0691208315650502,855.921630859375
597,1058,688.0,-2.5250905755972433,12.549884388413581,43.5667,-79.5667,LAKEVIEW MOE,0.9653899742628017,826.5505981445312
598,1044,756.0,-2.5203148049109165,11.946180500656526,43.7017,-80.3789,FERGUS MOE,1.0285195864026788,852.497314453125
598,1045,782.0,-2.4806352869286536,11.973562357271483,43.7347,-80.3303,FERGUS SHAND DAM,1.0660894200172428,850.7401123046875
598,1053,721.0,-2.5031706747586946,12.31280182233183,43.64,-79.8792,GEORGETOWN WWTP,0.9980831288361389,837.8231201171875
599,1025,757.0,-2.442376887557362,11.10292505991431,43.95,-81.5,LUCKNOW,1.1397337253468462,770.3290405273438
599,1031,772.0,-2.4773786787109904,11.366001661149262,43.8633,-81.1522,WROXETER,1.0789986335354917,829.8129272460938
599,1061,678.0,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,0.9655676442663615,814.3869018554688
600,1054,668.0,-2.397004874660827,12.36020391446482,43.7333,-79.7833,HEART LAKE,0.9311666917292433,832.0181884765625
600,1057,677.0,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,0.9516225582099556,825.1021728515625
600,1060,692.0,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO,0.982122893496756,817.19189453125
601,1062,690.0,-2.3873070477781435,12.704214421277252,43.6667,-79.3167,TORONTO ASHBRIDGES BAY,0.9875741450281939,810.3323364257812
602,1053,731.0,-2.327916851748337,12.32637283896129,43.8081,-79.8081,SANDHILL,1.0204510554037742,830.8239135742188
602,1056,666.0,-2.3191600885020183,12.478488442384476,43.7833,-79.6,WOODBRIDGE,0.9375173670002016,823.907958984375
603,1043,749.0,-2.2644885750578165,11.875340169110592,43.9667,-80.4,MONTICELLO,1.0297732794384735,843.5755615234375
603,1048,728.0,-2.2636477744192036,12.106430139619064,43.9184,-80.0864,ORANGEVILLE MOE,1.009920392917701,836.0418701171875
603,1057,688.0,-2.300210846413376,12.486566013188312,43.8,-79.5833,PINE GROVE,0.9732767601911714,819.852783203125
603,1059,714.0,-2.2735308044335856,12.603907460959604,43.8,-79.4167,THORNHILL GRANDVIEW,1.0157700165742707,815.2421264648438
603,1062,672.0,-2.2817473232017518,12.716996839653257,43.7667,-79.2667,TORONTO ELLESMERE,0.9647869126942272,807.8331298828125
604,1050,723.0,-2.2279269965201567,12.199222648857255,43.9333,-79.95,GLEN HAFFY MONO MILLS,1.0084035452751232,831.5487670898438
604,1052,651.0,-2.2258870394899612,12.284939610081308,43.9167,-79.8333,ALBION FIELD CENTRE,0.9109869017733091,828.8055419921875
605,1033,788.0,-2.20819786821322,11.417963386519043,44.1164,-81.0058,HANOVER,1.078672424966067,847.2672729492188
605,1052,680.0,-2.209685447157001,12.281321875193253,43.9333,-79.8333,ALBION,0.9542338457247951,826.4905395507812
