ilocy,ilocx,Tmax (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals
591,1066,301.15,-2.817509219258394,12.915619247015943,43.2,-79.1667,ST CATHARINES A,1.0000401462264958,303.247314453125
592,1046,299.15,-2.767016061611644,11.996249233882299,43.45,-80.3833,WATERLOO WELLINGTON A,0.9937142815410162,303.1510009765625
592,1067,300.15,-2.763299215491138,12.928027217189955,43.25,-79.1333,NIAGARA ON THE LAKE,0.9959550631842442,303.48004150390625
594,1023,299.15,-2.6644143539380045,11.012430916195237,43.75,-81.6833,SALTFORD,0.9918708588203953,303.71441650390625
595,1023,297.15,-2.652732378466715,10.985487811987579,43.7667,-81.7167,GODERICH,0.985297812131762,303.69647216796875
595,1028,300.15,-2.6528716485811477,11.23121942537366,43.7183,-81.3836,BLYTH,0.9959953259202651,303.4677734375
595,1048,299.15,-2.643659519903253,12.093245084716763,43.55,-80.2167,GUELPH ARBORETUM,0.9940110743868529,303.06048583984375
596,1039,299.15,-2.58781526238027,11.715347118043752,43.6839,-80.7103,GLEN ALLAN,0.9939173943851749,303.08905029296875
596,1044,297.15,-2.5766172477994584,11.930342238677156,43.65,-80.4167,ELORA AUTOMATIC CLIMATE STATION,0.9875900590881402,302.9915771484375
598,1044,298.15,-2.5203148049109165,11.946180500656526,43.7017,-80.3789,FERGUS MOE,0.9909839675941212,302.9700622558594
598,1045,299.15,-2.4806352869286536,11.973562357271483,43.7347,-80.3303,FERGUS SHAND DAM,0.9942906179556791,302.97528076171875
598,1053,299.15,-2.5031706747586946,12.31280182233183,43.64,-79.8792,GEORGETOWN WWTP,0.9939805463783503,303.0697937011719
599,1025,299.15,-2.442376887557362,11.10292505991431,43.95,-81.5,LUCKNOW,0.9920907670963871,303.6470947265625
599,1061,298.15,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,0.9902426613087981,303.1968688964844
600,1057,301.15,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,1.0005329209802474,303.09796142578125
600,1060,301.15,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO,1.0002976495804528,303.16925048828125
602,1044,299.15,-2.3358602778749833,11.939964180370309,43.8833,-80.3333,GRAND VALLEY WPCP,0.9944488820581818,302.92706298828125
602,1056,298.15,-2.3191600885020183,12.478488442384476,43.7833,-79.6,WOODBRIDGE,0.9907384715584207,303.0451354980469
603,1043,298.15,-2.2644885750578165,11.875340169110592,43.9667,-80.4,MONTICELLO,0.9911768571104723,302.9111022949219
603,1048,300.15,-2.2636477744192036,12.106430139619064,43.9184,-80.0864,ORANGEVILLE MOE,0.9977397595120795,302.93719482421875
603,1059,300.15,-2.3012399580428746,12.57237144415825,43.78,-79.4678,TORONTO NORTH YORK,0.9972847515829241,303.0754089355469
604,1022,299.15,-2.241321589381504,10.972174998558373,44.1728,-81.6233,KINCARDINE,0.9914857061041182,303.8323974609375
604,1062,300.15,-2.24387654203197,12.73301417766345,43.8,-79.2333,TORONTO MALVERN,0.9971850448765612,303.105712890625
605,1033,299.15,-2.20819786821322,11.417963386519043,44.1164,-81.0058,HANOVER,0.9935594512700779,303.1982421875
605,1058,300.15,-2.2032653790882666,12.564815949223863,43.8772,-79.4478,RICHMOND HILL,0.9974877409295441,303.01373291015625
605,1059,300.15,-2.203136713592852,12.612519283256612,43.8667,-79.3833,GORMLEY ARDENLEE,0.9974344997083033,303.0299072265625
605,1060,300.15,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,0.9973811637312531,303.0461120605469
607,1026,299.15,-2.1129955462159336,11.13405684862998,44.2667,-81.3667,PAISLEY,0.9923242397119294,303.5756530761719
607,1040,297.15,-2.086565409940424,11.75125646889718,44.1667,-80.5167,PROTON STATION,0.9877645619441461,302.93804931640625
607,1061,300.15,-2.084160802863321,12.683738271548572,43.9667,-79.25,STOUFFVILLE WPCP,0.9977559420884176,302.9322814941406
607,1068,299.15,-2.113258297105187,12.998996944329729,43.8667,-78.8333,OSHAWA WPCP,0.994338492540101,302.960693359375
608,1055,300.15,-2.07532116856368,12.423288218542075,44.0333,-79.6,BRADFORD MUCK RESEARCH,0.9981615825365673,302.8091735839844
608,1057,300.15,-2.07826530969464,12.48541277998624,44.0167,-79.5167,KING SMOKE TREE,0.9981837142071722,302.8024597167969
608,1071,298.15,-2.0368723211683046,13.104326222048623,43.9167,-78.6667,BOWMANVILLE MOSTERT,0.9912183002150662,302.8984375
609,1040,296.15,-1.9976029764428336,11.768849235202438,44.25,-80.4667,PORT LAW,0.9844135595220159,302.9463195800781
609,1050,300.15,-2.0028898354841,12.2065379573681,44.1514,-79.8722,ALLISTON NELSON,0.9981651034185167,302.80810546875
610,1046,298.15,-1.9632896096268049,12.005951269358317,44.2333,-80.1333,RUSKVIEW,0.9913439489247721,302.86004638671875
610,1069,298.15,-1.9506957967676675,13.034488807523276,44.0167,-78.7333,TYRONE,0.9916098338898622,302.7788391113281
611,1033,299.15,-1.9208176300440867,11.431423879128285,44.395,-80.9056,CHATSWORTH,0.9939655332915401,303.0743713378906
611,1051,300.15,-1.9090728517835933,12.250936972318437,44.2333,-79.7833,EGBERT CARE,0.9983368520134545,302.7560119628906
611,1053,299.15,-1.9211289341184725,12.318754222071837,44.2067,-79.6947,COOKSTOWN,0.9949862538667886,302.7634582519531
611,1068,298.15,-1.9456140465990561,12.98396334043673,44.0333,-78.8,BURKETON MCLAUGHLIN,0.991815265447999,302.71612548828125
611,1078,298.15,-1.9064779158935732,13.431092717642924,43.9667,-78.1833,COBOURG STP,0.991450445660812,302.8275146484375
612,1067,300.15,-1.886213506972899,12.945302739494345,44.1,-78.8333,BLACKSTOCK,0.9986920066096954,302.6483459472656
613,1028,298.15,-1.8353251431644337,11.230341090007814,44.5195,-81.157,TARA,0.9903907939468702,303.1515197753906
613,1077,297.15,-1.8312767142835416,13.387933314906906,44.05,-78.2167,CAMBORNE,0.988588960873547,302.6854248046875
614,1050,300.15,-1.800398130737639,12.202123436529773,44.35,-79.8167,ESSA ONT HYDRO,0.9983022359422478,302.7665100097656
614,1061,300.15,-1.7816353282292943,12.679022862516934,44.2625,-79.1614,UDORA,0.99912723408525,302.5165100097656
615,1031,300.15,-1.7405275891997007,11.373576723747828,44.5833,-80.9333,OWEN SOUND MOE,0.9975272234674142,303.0017395019531
615,1052,300.15,-1.7553657751343468,12.285118537724797,44.3758,-79.6897,BARRIE WPCC,0.9986027915320137,302.6753845214844
615,1070,299.15,-1.7395011092485384,13.057972763569062,44.2167,-78.6333,JANETVILLE,0.9959718902283623,302.4638366699219
616,1039,300.15,-1.6839926466563786,11.687924428012861,44.5736,-80.4853,THORNBURY SLAMA,0.9979811454474921,302.8639221191406
616,1043,301.15,-1.7154697341383163,11.8907013659687,44.5,-80.2167,COLLINGWOOD,1.0011942068106197,302.89776611328125
616,1051,300.15,-1.6950125327746375,12.21516992426389,44.45,-79.7667,MIDHURST,0.9987250383565779,302.6383361816406
616,1053,299.15,-1.7233069520001558,12.319592020167152,44.3995,-79.6328,SHANTY BAY,0.995667297137367,302.5563659667969
617,1067,299.15,-1.638869579923607,12.955200183926335,44.3384,-78.7403,LINDSAY FROST,0.9963713984519359,302.3425598144531
617,1074,299.15,-1.6744215474072017,13.257323716687257,44.2333,-78.3417,PETERBOROUGH A,0.9962273012960748,302.38629150390625
