ilocy,ilocx,TwJul2.5 (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals
658,1154,296.34999999999997,0.14685930964715913,16.805827936033086,45.0333,-72.85,FRELIGHSBURG,1.004633991823299,298.3176574707031
660,1046,294.5725,0.2247059616752298,12.02855117692835,46.3636,-79.4228,NORTH BAY A,1.0048769368879538,296.4566650390625
661,1024,294.54999999999995,0.27785930544065024,11.04782465123829,46.6256,-80.7978,SUDBURY A,1.0005310077374774,297.72161865234375
661,1135,296.84999999999997,0.29875596700283863,15.963370852402406,45.4272,-73.9292,STE-ANNE-DE-BELLEVUE 1,1.0025532533389974,299.441162109375
661,1145,296.65,0.2903801318541239,16.391939646159297,45.2939,-73.3494,L'ACADIE,1.0023156117884646,299.31036376953125
663,945,291.04999999999995,0.37531764415044294,7.542138429338071,47.3333,-85.8333,CARIBOU ISLAND (AUT),0.9953901010438067,295.70330810546875
663,1107,295.95,0.3596178026937318,14.694185981330756,45.8394,-75.6481,HIGH FALLS,1.0058973578907522,297.54083251953125
663,1138,296.45,0.3730154780297401,16.072237754624673,45.4667,-73.75,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,1.000868881021008,299.5409240722656
664,1140,296.34999999999997,0.4443307640007551,16.175667448413403,45.5047,-73.5792,MCTAVISH,1.0003207089225465,299.6039733886719
666,1132,296.04999999999995,0.5070676872066261,15.82450983689447,45.6667,-74.0333,MONTREAL/MIRABEL INT'L A,1.0009596769112612,299.109619140625
666,1142,296.45,0.4892824791896059,16.280985270212184,45.5167,-73.4167,MONTREAL/ST-HUBERT A,1.0008218752030367,299.55499267578125
668,1049,294.95,0.6116695306403618,12.166449577432108,46.7097,-79.1011,BARRAGE TEMISCAMINGUE,1.0065209242692406,296.35174560546875
669,1266,292.95,0.6616967255468574,21.753266688790557,43.8308,-66.0886,YARMOUTH A,0.9994687460873108,296.4190979003906
670,1142,296.84999999999997,0.6947422191111929,16.24677900758758,45.7231,-73.3767,VARENNES,1.0026993853468888,299.39752197265625
670,1167,296.34999999999997,0.6886805319462729,17.390734475406397,45.3689,-71.8236,LENNOXVILLE,1.0105379530771883,296.57476806640625
671,1099,295.65,0.7156331962537236,14.348255532286624,46.2747,-75.9919,MANIWAKI AIRPORT,1.0071555619432582,296.8678894042969
672,1140,296.54999999999995,0.7652575197208127,16.182646599358296,45.8094,-73.4347,L'ASSOMPTION,1.002914610565438,299.03076171875
672,1169,295.54999999999995,0.7807929838028224,17.463999638422727,45.4333,-71.6833,SHERBROOKE A,1.0080340449784673,296.50885009765625
673,1122,295.34999999999997,0.8000267506142459,15.358025625125332,46.0803,-74.5558,ST-JOVITE,1.006317621670978,296.8135986328125
673,1126,294.95,0.8244980392844867,15.547958374592634,46.05,-74.2833,STE AGATHE DES MONTS,1.0034088737267342,297.2708740234375
677,1258,291.75,1.0130631992300436,21.40976422531739,44.2858,-66.3467,BRIER ISLAND,0.9961424017875405,296.1906433105469
679,959,293.04999999999995,1.1072814606393633,8.146944438375767,47.9667,-84.7833,WAWA (AUT),1.0027091174918397,295.5620422363281
680,890,294.75,1.1206948848156557,5.08967868562008,48.3694,-89.3272,THUNDER BAY COMPOSITE,1.0028796188189095,297.22607421875
680,893,292.84999999999997,1.1342705306245164,5.227083360289694,48.3692,-89.1194,WELCOME ISLAND (AUT),0.9961769051506186,297.2970886230469
682,1145,295.75,1.2293698580048833,16.414836345231127,46.1833,-72.9167,LAC SAINT-PIERRE,1.0022952463961876,298.4083557128906
682,1286,291.95,1.2052549376769126,22.638199832678378,43.99,-64.6642,WESTERN HEAD,0.9960403952166564,296.4240417480469
684,1149,296.54999999999995,1.324199050408167,16.57320591671965,46.2258,-72.6572,NICOLET,1.0045667370817783,298.5389709472656
684,1248,294.04999999999995,1.2872699655585567,20.949284627149368,44.7121,-66.8019,GRAND MANAN SAR CS,1.0033605969522597,296.3780517578125
686,854,295.15,1.3834345065619407,3.5392528701002495,48.7611,-91.6281,ATIKOKAN (AUT),0.9968198590158306,299.4387512207031
687,1033,295.95,1.4595491108337588,11.452173427425658,47.695,-79.8489,EARLTON AWOS,1.0059967212678511,297.5114440917969
687,1274,295.65,1.434103189847353,22.120804518571795,44.4031,-65.2031,KEJIMKUJIK 1,1.0087964509822218,296.385009765625
688,771,297.15,1.500238175261201,-0.1558671941190945,49.0,-97.2375,EMERSON AUT,0.9911729546849567,303.1853332519531
688,1150,296.15,1.4756375012611829,16.62712774062688,46.3536,-72.5161,TROIS-RIVIERES,1.0041201339960768,298.2688903808594
689,766,297.15,1.5321233667437582,-0.36729378923272993,49.0308,-97.56,GRETNA (AUT),0.9922115293498646,302.86798095703125
689,795,296.04999999999995,1.5318919790453405,0.9194384967178424,49.0236,-95.5983,SPRAGUE,0.9927246364139078,301.5908508300781
689,1157,296.34999999999997,1.5250089118547172,16.941728866058813,46.3036,-72.0608,LEMIEUX,1.0050399035087374,298.1971740722656
690,934,292.04999999999995,1.574749328215675,7.060568712750296,48.5883,-86.2947,PUKASKWA (AUT),0.9982279291829727,295.8757629394531
