ilocy,ilocx,Tmin (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals
578,1043,256.15,-3.3978654581494028,11.864307220593831,42.8606,-80.7406,TILLSONBURG NORTH,0.9904689250982238,257.7826232910156
579,1046,256.15,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CDA,0.9903969347814061,257.8013610839844
580,1030,255.14999999999998,-3.31504942834024,11.32856354313463,43.05,-81.4333,ILDERTON BEAR CREEK,0.9851852204892153,258.15338134765625
580,1035,256.15,-3.290192648996729,11.534742415363127,43.033199999999994,-81.15055000000001,LONDON CS,0.989864953121785,257.9399108886719
581,1023,257.15,-3.252190168365689,11.000990223356801,43.1756,-81.8558,THEDFORD,0.9902783260645055,258.83880615234375
581,1041,256.15,-3.2495454340222203,11.802818962203162,43.0184,-80.7808,FOLDENS,0.9915835293606352,257.49285888671875
581,1061,257.15,-3.24842961664734,12.676476148716175,42.8333,-79.6167,DUNNVILLE PUMPING STN,0.9927484838056748,258.19476318359375
582,1053,257.15,-3.190046906051618,12.32513408556721,42.9667,-80.0667,HAGERSVILLE,0.9951595372312144,257.5692138671875
584,1041,256.15,-3.13284052569434,11.785799537197978,43.1361,-80.7706,WOODSTOCK,0.9933329672756966,257.03936767578125
584,1067,259.15,-3.1397794599579134,12.927767317025122,42.8833,-79.25,PORT COLBORNE,1.002121622942404,257.7691345214844
585,1071,258.15,-3.092690736879672,13.130240887970073,42.8833,-78.9667,FORT ERIE,1.0001321247590342,257.2852478027344
586,1026,257.15,-3.030893850334344,11.134815531368883,43.3667,-81.6167,DASHWOOD,0.9940143046445022,257.865966796875
586,1028,256.15,-3.0305882642868083,11.22141346027362,43.35,-81.5,EXETER,0.9901488008348794,257.865966796875
586,1050,255.14999999999998,-3.0533645399212452,12.1703238324863,43.1333,-80.2333,BRANTFORD MOE,0.9895601841472247,257.0120544433594
586,1053,256.15,-3.0383087763253003,12.316670694692613,43.1167,-80.0333,MIDDLEPORT TS,0.9927686119855563,257.18548583984375
586,1066,257.15,-3.0352088239803825,12.895229197324136,42.9925,-79.2611,WELLAND,0.993800601840734,257.9214172363281
587,1054,256.15,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,0.9928623910157649,257.16119384765625
587,1065,257.15,-2.9977565306147875,12.83857535440109,43.0417,-79.325,RIDGEVILLE,0.9929980089258597,258.1298828125
588,1030,255.14999999999998,-2.9411848050342453,11.327074768748721,43.4167,-81.3333,CROMARTY,0.9865650309056799,257.7923278808594
588,1036,255.14999999999998,-2.9399160855948936,11.570910546325573,43.3689,-81.0047,STRATFORD WWTP,0.9898243952306747,256.9434509277344
589,1051,256.15,-2.921194219220219,12.228510396755627,43.25,-80.1167,COPETOWN,0.9945078153300462,256.7357177734375
589,1060,259.15,-2.8973514657298165,12.640676415959707,43.1836,-79.5583,GRIMSBY MOUNTAIN,1.003282695175949,257.4708251953125
589,1062,258.15,-2.8908901203189035,12.745247858010568,43.1667,-79.4167,VINELAND RITTENHOUSE,0.9986662368771344,257.66290283203125
589,1063,259.15,-2.9071695462038596,12.748976914625931,43.15,-79.4167,VINELAND,1.0021613696918095,257.7589111328125
590,1045,253.14999999999998,-2.8750681306212913,11.952354474205725,43.3536,-80.4736,ROSEVILLE,0.9847579617079942,256.240966796875
590,1054,258.15,-2.849872870422637,12.377668358906202,43.287499999999994,-79.89580000000001,HAMILTON RBG,1.001911881054036,256.8282165527344
590,1065,258.15,-2.8502163436945627,12.848272183585957,43.1833,-79.2667,PORT DALHOUSIE,0.9975509021367144,257.95098876953125
590,1068,257.15,-2.8686918482263937,12.990070953040247,43.1333,-79.0833,NIAGARA FALLS,0.9934509015150306,258.01220703125
591,1045,255.14999999999998,-2.821007126714072,11.98306561318483,43.4,-80.4167,PRESTON,0.9930250183446944,256.11529541015625
591,1053,256.15,-2.8325470237412183,12.320899701268427,43.3167,-79.9667,MILLGROVE,0.9949153505776511,256.63055419921875
591,1066,259.15,-2.817509219258394,12.915619247015943,43.2,-79.1667,ST CATHARINES A,1.0010424295360136,258.0470275878906
592,1046,256.15,-2.767016061611644,11.996249233882299,43.45,-80.3833,WATERLOO WELLINGTON A,0.9971285515349756,256.0609436035156
592,1067,259.15,-2.763299215491138,12.928027217189955,43.25,-79.1333,NIAGARA ON THE LAKE,1.0008253550232908,258.1029968261719
594,1023,259.15,-2.6644143539380045,11.012430916195237,43.75,-81.6833,SALTFORD,0.9999649673531681,258.3250732421875
595,1023,258.15,-2.652732378466715,10.985487811987579,43.7667,-81.7167,GODERICH,0.9962252007842424,258.29425048828125
595,1028,254.14999999999998,-2.6528716485811477,11.23121942537366,43.7183,-81.3836,BLYTH,0.9844445268984598,257.3350830078125
595,1048,256.15,-2.643659519903253,12.093245084716763,43.55,-80.2167,GUELPH ARBORETUM,0.9980499266601197,255.82455444335938
596,1039,254.14999999999998,-2.58781526238027,11.715347118043752,43.6839,-80.7103,GLEN ALLAN,0.990471973329256,255.7690887451172
596,1044,254.14999999999998,-2.5766172477994584,11.930342238677156,43.65,-80.4167,ELORA AUTOMATIC CLIMATE STATION,0.9918916933907682,255.4029998779297
598,1044,256.15,-2.5203148049109165,11.946180500656526,43.7017,-80.3789,FERGUS MOE,1.0001070226147857,255.29835510253906
598,1045,254.14999999999998,-2.4806352869286536,11.973562357271483,43.7347,-80.3303,FERGUS SHAND DAM,0.9923696740823806,255.2799835205078
598,1053,254.14999999999998,-2.5031706747586946,12.31280182233183,43.64,-79.8792,GEORGETOWN WWTP,0.9905217296331923,255.75624084472656
