ilocy,ilocx,RL50 (kPa),rlat,rlon,lat,lon,station_name,ratio,model_vals
654,1141,0.33799999999999997,-0.002819591108613995,16.211153361252567,45.0667,-73.7167,HEMMINGFORD FOUR WINDS,0.7457134110393725,0.380166232585907
655,1050,0.327,0.0108004267438218,12.200271604969695,46.1167,-79.25,POWASSAN,0.85826257443111,0.3195629119873047
656,1146,0.436,0.08212766041682308,16.43136179542141,45.0833,-73.3833,ST BERNARD DE LACOLLE,0.9425709130230215,0.38797277212142944
657,1110,0.493,0.09932157620079315,14.83803900373631,45.55,-75.55,ANGERS,1.0983381167578827,0.37647804617881775
657,1134,0.46399999999999997,0.12639370122986404,15.889859305178064,45.2833,-74.1,VALLEYFIELD,1.0246124269388017,0.37982815504074097
657,1141,0.41,0.09970703767826301,16.204535378802806,45.1667,-73.6833,STE CLOTHILDE CDA,0.9016325819038651,0.38140207529067993
658,1081,0.315,0.16636607784747412,13.543748046258958,45.95,-77.3167,PETAWAWA A,0.8517397829687126,0.3101933002471924
659,1081,0.318,0.19407473605052883,13.584505642712083,45.9667,-77.25,SHEENBORO,0.8516036427741376,0.3131975829601288
659,1157,0.385,0.2143332821945056,16.907970562019244,45.0667,-72.6833,SUTTON,0.7705818728175822,0.41905471682548523
660,1046,0.36,0.2247059616752298,12.02855117692835,46.3636,-79.4228,NORTH BAY A,0.9367537230395511,0.32233381271362305
660,1148,0.384,0.2478536721012904,16.515278173256952,45.2167,-73.2,SABREVOIS,0.8167521590169129,0.394338995218277
661,1024,0.386,0.27785930544065024,11.04782465123829,46.6256,-80.7978,SUDBURY A,0.9298869689218382,0.3481656610965729
661,1128,0.39399999999999996,0.2806495088143387,15.648523738310713,45.5,-74.3667,RIGAUD,0.8264887248343965,0.39984169602394104
662,1146,0.413,0.34872560816845866,16.447024680651992,45.3333,-73.25,IBERVILLE,0.8829795806446011,0.39230892062187195
662,1158,0.46799999999999997,0.35043721364910185,16.950859185149188,45.1833,-72.5667,BROME,0.9358057273586882,0.41945844888687134
663,1118,0.526,0.361483120581601,15.211915468380836,45.7,-74.9333,MONTEBELLO (SEDBERGH),1.0937955952766267,0.40334656834602356
663,1136,0.413,0.3845159255402604,15.995474941061378,45.5,-73.85,STE GENEVIEVE,0.8733838847300959,0.39661914110183716
663,1138,0.47600000000000003,0.3730154780297401,16.072237754624673,45.4667,-73.75,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,1.0175027983052354,0.3923739194869995
663,1139,0.5670000000000001,0.378677196996154,16.15032437560446,45.44933929,-73.64116429,LAVALTRIE CDA composite,1.2186177966765395,0.3902512788772583
663,1163,0.431,0.3750065977850023,17.189960041690064,45.1333,-72.2333,GEORGEVILLE,0.8408254952392133,0.4299324154853821
664,1128,0.474,0.43111426674639375,15.628350571746576,45.65,-74.3333,LACHUTE,0.9605163861067307,0.41390660405158997
664,1140,0.47,0.43899501354061177,16.174297228821235,45.5,-73.5833,MONTREAL MCGILL,1.0065734770383463,0.3916347026824951
665,1169,0.395,0.4860499102898444,17.47520195436037,45.15,-71.8,COATICOOK,0.7591619231310667,0.4364067614078522
666,1132,0.444,0.5070676872066261,15.82450983689447,45.6667,-74.0333,MONTREAL/MIRABEL INT'L A,0.892707390320992,0.4171599745750427
666,1134,0.433,0.521333283639665,15.929713258832273,45.65,-73.8833,STE THERESE OUEST,0.8751712080358082,0.41497665643692017
666,1142,0.446,0.4892824791896059,16.280985270212184,45.5167,-73.4167,MONTREAL/ST-HUBERT A,0.948503173086764,0.3943890631198883
666,1154,0.408,0.5088716677241474,16.78949405383804,45.3833,-72.7167,GRANBY,0.8380766251128585,0.40832430124282837
666,1164,0.43700000000000006,0.5272872692490097,17.226791433609083,45.2667,-72.1167,MAGOG,0.8562871076353903,0.4280463755130768
668,1155,0.537,0.6005135224791582,16.855793371577782,45.45045263,-72.58703684,ST HYACINTHE composite,1.092472396282762,0.4122803211212158
668,1161,0.40299999999999997,0.6214263288690471,17.08527176163669,45.4,-72.2667,BONSECOURS,0.8000032150427615,0.42251497507095337
668,1174,0.474,0.6002534616609015,17.66009565819819,45.2,-71.5,ST MALO D AUCKLAND,0.9107745657085927,0.4365120530128479
669,1146,0.494,0.6436379439510136,16.440798499950514,45.6167,-73.1333,STE MADELEINE,1.0385531517254811,0.39895784854888916
669,1150,0.39,0.6413453724906322,16.600395614683634,45.5667,-72.9167,ST HYACINTHE 2,0.8118033883386164,0.4029420018196106
669,1266,0.596,0.6616967255468574,21.753266688790557,43.8308,-66.0886,YARMOUTH A,1.160175987308628,0.43087488412857056
670,1167,0.294,0.6886805319462729,17.390734475406397,45.3689,-71.8236,LENNOXVILLE,0.5774206086182616,0.4270550310611725
671,1098,0.336,0.7391769186864998,14.331629182838835,46.3018,-76.0061,MANIWAKI UA,0.8190680046727075,0.34407103061676025
671,1141,0.387,0.738457158552364,16.240560473908765,45.7667,-73.3667,VERCHERES,0.7847559796880756,0.4136234223842621
671,1267,0.542,0.7390764935272756,21.803607253579266,43.8833,-65.9833,TUSKET,1.0494724966243398,0.4331686496734619
672,1140,0.467,0.7652575197208127,16.182646599358296,45.8094,-73.4347,L'ASSOMPTION,0.9293039864079667,0.4214905798435211
672,1165,0.37200000000000005,0.7695743040876517,17.270669708561627,45.4833,-71.95,BROMPTONVILLE,0.7396345344925347,0.4218465983867645
672,1169,0.38799999999999996,0.7807929838028224,17.463999638422727,45.4333,-71.6833,SHERBROOKE A,0.7723645637334609,0.4213453233242035
673,1126,0.535,0.8244980392844867,15.547958374592634,46.05,-74.2833,STE AGATHE DES MONTS,1.0182847093467635,0.44066986441612244
673,1131,0.563,0.816943782864911,15.7555788147033,45.9833,-74.0,ST HIPPOLYTE,1.0387249097092714,0.4546075463294983
674,1147,0.45,0.8463890909946689,16.47479579678509,45.8,-73.0,FLEURY,0.9148146044242986,0.41258004307746887
674,1178,0.32299999999999995,0.8834959655618496,17.87385061537259,45.4,-71.0833,NOTRE DAME DES BOIS,0.6294438913192693,0.430402010679245
677,881,0.17,0.9978671020460085,4.707577833482668,48.2833,-89.9167,WHITEFISH LAKE,0.5373268012146871,0.26536229252815247
678,1117,0.42,1.0340555599277181,15.137667577989024,46.3667,-74.7667,LA MACAZA,0.8927010401085442,0.3946135938167572
678,1143,0.40299999999999997,1.0447050148731867,16.327496188013978,46.0333,-73.1167,SOREL,0.793087360123273,0.42619937658309937
678,1154,0.405,1.0348232563982545,16.79264234742965,45.8833,-72.4833,DRUMMONDVILLE,0.8279711112274504,0.4102689325809479
